"filename", "language", "JSON", "Markdown", "HTML", "JavaScript", "XML", "PostCSS", "JavaScript JSX", "YAML", "TypeScript", "comment", "blank", "total"
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\.github\legacy_workflows\main_mynew-app-frontend.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 51, 0, 2, 12, 65
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\.github\workflows\azure-static-web-apps-red-island-0ed202b1e.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 43, 0, 3, 4, 50
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\DEBUGGING_GUIDE.md", "Markdown", 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 58, 172
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\README.md", "Markdown", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\eslint.config.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 2, 34
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\index.html", "HTML", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\package-lock.json", "JSON", 5544, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5545
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\package.json", "JSON", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 53
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\public\ScholarX-Logo-Icon-Blue_ScholarX.svg", "XML", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\public\ScholarX-Logo-Icon-White-Blue-BG_ScholarX.svg", "XML", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
