Date : 2026-03-08 16:08:31
Directory : c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main
Total : 344 files,  48453 codes, 3205 comments, 6454 blanks, all 58112 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| PostCSS        |        124 |     19,737 |        870 |      3,375 |     23,982 |
| JavaScript JSX |        126 |     15,599 |      1,447 |      1,677 |     18,723 |
| JSON           |          4 |      5,652 |          0 |          3 |      5,655 |
| JavaScript     |         70 |      5,007 |        873 |        636 |      6,516 |
| Markdown       |         10 |      2,062 |          0 |        713 |      2,775 |
| HTML           |          2 |        210 |          0 |         23 |        233 |
| YAML           |          2 |         94 |          5 |         16 |        115 |
| TypeScript     |          1 |         59 |         10 |          9 |         78 |
| XML            |          5 |         33 |          0 |          2 |         35 |
+----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                             |        344 |     48,453 |      3,205 |      6,454 |     58,112 |
| . (Files)                                                                                                                                                     |          9 |      5,858 |          7 |         77 |      5,942 |
| .github                                                                                                                                                       |          2 |         94 |          5 |         16 |        115 |
| .github\legacy_workflows                                                                                                                                      |          1 |         51 |          2 |         12 |         65 |
| .github\workflows                                                                                                                                             |          1 |         43 |          3 |          4 |         50 |
| public                                                                                                                                                        |          4 |         32 |          0 |          2 |         34 |
| src                                                                                                                                                           |        329 |     42,469 |      3,193 |      6,359 |     52,021 |
| src (Files)                                                                                                                                                   |          4 |        318 |         12 |         20 |        350 |
| src\assets                                                                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| src\assets\Images                                                                                                                                             |          1 |          1 |          0 |          0 |          1 |
| src\components                                                                                                                                                |         45 |      6,866 |        501 |        969 |      8,336 |
| src\components\Admin                                                                                                                                          |          3 |      1,151 |         63 |        143 |      1,357 |
| src\components\Admin\CourseEditorModal                                                                                                                        |          3 |      1,151 |         63 |        143 |      1,357 |
| src\components\BlockedUserMessage                                                                                                                             |          3 |        353 |          2 |         57 |        412 |
| src\components\Certificate                                                                                                                                    |          2 |        567 |         25 |         88 |        680 |
| src\components\CertificateModal                                                                                                                               |          1 |        207 |          6 |         26 |        239 |
| src\components\CourseCards                                                                                                                                    |          2 |         48 |          0 |          8 |         56 |
| src\components\CourseEnrollmentModal                                                                                                                          |          3 |        386 |         28 |         42 |        456 |
| src\components\EnrollmentButton                                                                                                                               |          2 |        166 |          4 |         19 |        189 |
| src\components\Footer                                                                                                                                         |          2 |        261 |          6 |         43 |        310 |
| src\components\ForgotPasswordModal                                                                                                                            |          2 |        260 |          1 |         42 |        303 |
| src\components\NavBar                                                                                                                                         |          2 |        490 |          5 |         62 |        557 |
| src\components\PasswordUpdate                                                                                                                                 |          2 |        261 |          3 |         34 |        298 |
| src\components\SalesInquiryCTA                                                                                                                                |          3 |        230 |         31 |         31 |        292 |
| src\components\SalesInquiryModal                                                                                                                              |          4 |        670 |         74 |         84 |        828 |
| src\components\SecureVideoPlayer                                                                                                                              |          2 |        571 |        113 |         95 |        779 |
| src\components\Services                                                                                                                                       |          6 |        707 |         11 |        115 |        833 |
| src\components\Services\AmbassadorModal                                                                                                                       |          2 |        183 |          3 |         30 |        216 |
| src\components\Services\MentorshipModal                                                                                                                       |          2 |        288 |          4 |         46 |        338 |
| src\components\Services\PodcastModal                                                                                                                          |          2 |        236 |          4 |         39 |        279 |
| src\components\common                                                                                                                                         |          6 |        538 |        129 |         80 |        747 |
| src\components\common\MarkdownEditor                                                                                                                          |          3 |        389 |         72 |         55 |        516 |
| src\components\common\MarkdownRenderer                                                                                                                        |          3 |        149 |         57 |         25 |        231 |
| src\context                                                                                                                                                   |          1 |         61 |          1 |          9 |         71 |
| src\hooks                                                                                                                                                     |          4 |        512 |         69 |         90 |        671 |
| src\pages                                                                                                                                                     |        256 |     32,630 |      2,252 |      5,064 |     39,946 |
| src\pages\About                                                                                                                                               |         17 |      1,625 |         72 |        331 |      2,028 |
| src\pages\About (Files)                                                                                                                                       |          4 |        500 |         18 |        159 |        677 |
| src\pages\About\components                                                                                                                                    |         12 |        952 |         43 |        162 |      1,157 |
| src\pages\About\components (Files)                                                                                                                            |          1 |          4 |          3 |          2 |          9 |
| src\pages\About\components\HeroSection                                                                                                                        |          2 |        209 |          8 |         35 |        252 |
| src\pages\About\components\ImpactSection                                                                                                                      |          2 |        172 |          7 |         30 |        209 |
| src\pages\About\components\VisionSection                                                                                                                      |          2 |        157 |          7 |         27 |        191 |
| src\pages\About\components\shared                                                                                                                             |          5 |        410 |         18 |         68 |        496 |
| src\pages\About\constants                                                                                                                                     |          1 |        173 |         11 |         10 |        194 |
| src\pages\Admin                                                                                                                                               |         10 |      2,872 |         84 |        254 |      3,210 |
| src\pages\Admin\Courses                                                                                                                                       |          2 |      1,472 |         16 |         96 |      1,584 |
| src\pages\Admin\Dashboard                                                                                                                                     |          2 |        189 |          4 |         23 |        216 |
